x	y
-89	-137
-93	-135
-93	-137
-90	-139
-93	-137
-91	-139
-92	-139
-90	-140
-93	-138
-94	-140
-91	-140
-90	-140
-94	-141
-93	-137
-93	-138
-93	-139
-93	-139
-93	-137
-95	-141
-92	-141
-93	-136
-93	-137
-96	-140
-90	-138
-90	-140
-94	-140
-94	-139
-89	-139
-94	-137
-93	-139
-94	-139
-90	-141
-94	-139
-92	-140
-93	-140
-94	-141
-90	-137
-91	-136
-90	-136
-88	-137
-89	-133
-90	-131
-108	-121
-57	-138
-107	-119
-59	-134
-104	-116
-54	-133
-96	-110
-48	-125
-90	-106
-44	-126
-81	-106
-35	-128
-75	-111
-29	-134
-69	-118
-26	-141
-64	-130
-21	-160
-62	-147
-27	-171
-75	-157
-38	-186
-84	-169
-45	-193
-91	-171
-53	-192
-104	-169
-61	-197
-109	-167
-67	-190
-118	-161
-65	-192
-123	-160
-71	-182
-129	-147
-64	-181
-137	-137
-66	-171
-130	-131
-62	-163
-134	-118
-50	-165
-138	-113
-53	-155
-124	-110
-44	-150
-127	-102
-35	-149
-122	-96
-33	-142
-105	-96
-25	-139
-105	-94
-13	-146
-98	-97
-13	-142
-86	-107
-10	-153
-86	-112
1	-165
-88	-122
-6	-173
-79	-135
-11	-185
-96	-146
-12	-201
-99	-152
-26	-197
-102	-161
-28	-205
-118	-158
-29	-211
-118	-160
-47	-201
-120	-162
-48	-202
-136	-158
-46	-202
-140	-152
-59	-195
-137	-149
-55	-194
-140	-140
-52	-186
-144	-131
-56	-176
-138	-127
-55	-166
-139	-121
-48	-164
-141	-111
-49	-153
-128	-106
-46	-148
-124	-98
-33	-147
-120	-93
-29	-145
-102	-97
-22	-141
-102	-96
-10	-146
-98	-101
-11	-153
-83	-115
-6	-160
-88	-119
5	-175
-92	-125
-6	-180
-88	-146
-15	-190
-99	-148
-14	-198
-107	-151
-21	-202
-109	-162
-35	-205
-117	-162
-36	-206
-127	-158
-41	-207
-125	-162
-51	-202
-135	-157
-53	-202
-144	-148
-53	-198
-137	-147
-63	-190
-142	-138
-57	-182
-150	-128
-54	-176
-137	-124
-58	-163
-137	-119
-51	-158
-136	-108
-39	-154
-124	-104
-46	-144
-117	-101
-32	-140
-120	-94
-21	-144
-104	-96
-24	-140
-95	-98
-10	-145
-97	-101
-3	-155
-89	-115
-7	-160
-83	-123
-3	-173
-94	-131
-2	-185
-99	-141
-18	-188
-95	-153
-19	-198
-111	-153
-20	-207
-113	-158
-36	-206
-114	-160
-41	-205
-129	-159
-40	-204
-134	-155
-50	-203
-130	-157
-54	-198
-141	-149
-50	-197
-144	-142
-63	-185
-138	-142
-60	-180
-142	-126
-51	-176
-143	-117
-59	-159
-132	-116
-54	-156
-132	-105
-39	-150
