SampleNo,X,Y,Pulse,Anomaly,NoFit,Drift
0,-12,65,0,0,0,0
1,-11,64,0,0,0,0
2,-12,65,0,0,0,0
3,-11,64,0,0,0,0
4,-12,65,0,0,0,0
5,-11,65,0,0,0,0
6,-11,65,0,0,0,0
7,-11,65,0,0,0,0
8,-12,65,0,0,0,0
9,-12,65,0,0,0,0
10,-12,65,0,0,0,0
11,-11,64,0,0,0,0
12,-12,65,0,0,0,0
13,-11,65,0,0,0,0
14,-12,65,0,0,0,0
15,-11,65,0,0,0,0
16,-11,65,0,0,0,0
17,-11,65,0,0,0,0
18,-12,65,0,0,0,0
19,-11,65,0,0,0,0
20,-12,65,0,0,0,0
21,-11,65,0,0,0,0
22,-12,65,0,0,0,0
23,-11,65,0,0,0,0
24,-12,65,0,0,0,0
25,-11,65,0,0,0,0
26,-12,65,0,0,0,0
27,-11,65,0,0,0,0
28,-12,65,0,0,0,0
29,-11,65,0,0,0,0
30,-12,65,0,0,0,0
31,-11,65,0,0,0,0
32,-12,64,0,0,0,0
33,-11,65,0,0,0,0
34,-12,65,0,0,0,0
35,-11,65,0,0,0,0
36,-12,65,0,0,0,0
37,-11,65,0,0,0,0
38,-12,65,0,0,0,0
39,-11,65,0,0,0,0
40,-12,65,0,0,0,0
41,-11,65,0,0,0,0
42,-12,65,0,0,0,0
43,-11,65,0,0,0,0
44,-12,65,0,0,0,0
45,-11,65,0,0,0,0
46,-12,65,0,0,0,0
47,-11,65,0,0,0,0
48,-12,65,0,0,0,0
49,-11,65,0,0,0,0
50,-12,65,0,0,0,0
51,-11,64,0,0,0,0
52,-11,65,0,0,0,0
53,-11,65,0,0,0,0
54,-12,65,0,0,0,0
55,-11,65,0,0,0,0
56,-12,65,0,0,0,0
57,-11,65,0,0,0,0
58,-12,65,0,0,0,0
59,-11,65,0,0,0,0
60,-11,65,0,0,0,0
61,-11,65,0,0,0,0
62,-12,65,0,0,0,0
63,-11,65,0,0,0,0
64,-12,65,0,0,0,0
65,-11,65,0,0,0,0
66,-12,65,0,0,0,0
67,-11,65,0,0,0,0
68,-11,65,0,0,0,0
69,-11,65,0,0,0,0
70,-12,65,0,0,0,0
71,-12,64,0,0,0,0
72,-12,65,0,0,0,0
73,-11,65,0,0,0,0
74,-12,65,0,0,0,0
75,-11,65,0,0,0,0
76,-12,65,0,0,0,0
77,-11,65,0,0,0,0
78,-12,66,0,0,0,0
79,-11,65,0,0,0,0
80,-12,65,0,0,0,0
81,-11,65,0,0,0,0
82,-12,65,0,0,0,0
83,-12,66,0,0,0,0
84,-12,65,0,0,0,0
85,-12,65,0,0,0,0
86,-12,65,0,0,0,0
87,-11,65,0,0,0,0
88,-12,65,0,0,0,0
89,-11,65,0,0,0,0
90,-12,66,0,0,0,0
91,-11,66,0,0,0,0
92,-12,65,0,0,0,0
93,-12,65,0,0,0,0
94,-12,65,0,0,0,0
95,-11,65,0,0,0,0
96,-11,66,0,0,0,0
97,-12,65,0,0,0,0
98,-11,65,0,0,0,0
99,-11,66,0,0,0,0
100,-11,66,0,0,0,0
101,-11,66,0,0,0,0
102,-11,66,0,0,0,0
103,-11,66,0,0,0,0
104,-12,66,0,0,0,0
105,-11,66,0,0,0,0
106,-12,66,0,0,0,0
107,-11,65,0,0,0,0
108,-11,66,0,0,0,0
109,-11,66,0,0,0,0
110,-12,66,0,0,0,0
111,-11,66,0,0,0,0
112,-12,66,0,0,0,0
113,-11,66,0,0,0,0
114,-12,66,0,0,0,0
115,-11,66,0,0,0,0
116,-12,66,0,0,0,0
117,-11,66,0,0,0,0
118,-12,66,0,0,0,0
119,-12,66,0,0,0,0
120,-12,66,0,0,0,0
121,-11,66,0,0,0,0
122,-11,66,0,0,0,0
123,-11,66,0,0,0,0
124,-12,66,0,0,0,0
125,-11,66,0,0,0,0
126,-11,67,0,0,0,0
127,-12,66,0,0,0,0
128,-12,66,0,0,0,0
129,-11,66,0,0,0,0
130,-12,66,0,0,0,0
131,-11,66,0,0,0,0
132,-12,66,0,0,0,0
133,-12,66,0,0,0,0
134,-13,66,0,0,0,0
135,-11,65,0,0,0,0
136,-12,66,0,0,0,0
137,-12,65,0,0,0,0
138,-12,65,0,0,0,0
139,-12,65,0,0,0,0
140,-13,65,0,0,0,0
141,-12,64,0,0,0,0
142,-13,64,0,0,0,0
143,-13,64,0,0,0,0
144,-13,64,0,0,0,0
145,-13,64,0,0,0,0
146,-13,64,0,0,0,0
147,-13,63,0,0,0,0
148,-13,64,0,0,0,0
149,-13,64,0,0,0,0
150,-14,64,0,0,0,0
151,-13,63,0,0,0,0
152,-14,63,0,0,0,0
153,-14,63,0,0,0,0
154,-14,63,0,0,0,0
155,-13,63,0,0,0,0
156,-14,63,0,0,0,0
157,-14,63,0,0,0,0
158,-14,63,0,0,0,0
159,-14,63,0,0,0,0
160,-14,63,0,0,0,0
161,-15,63,0,0,0,0
162,-15,63,0,0,0,0
163,-14,63,0,0,0,0
164,-15,63,0,0,0,0
165,-14,63,0,0,0,0
166,-15,62,0,0,0,0
167,-14,63,0,0,0,0
168,-15,63,0,0,0,0
169,-14,62,0,0,0,0
170,-15,63,0,0,0,0
171,-15,63,0,0,0,0
172,-15,62,0,0,0,0
173,-15,62,0,0,0,0
174,-15,63,0,0,0,0
175,-15,62,0,0,0,0
176,-15,63,0,0,0,0
177,-14,62,0,0,0,0
178,-15,62,0,0,0,0
179,-15,62,0,0,0,0
180,-15,62,0,0,0,0
181,-15,62,0,0,0,0
182,-15,61,0,0,0,0
183,-15,62,0,0,0,0
184,-16,61,0,0,0,0
185,-15,61,0,0,0,0
186,-16,61,0,0,0,0
187,-15,60,0,0,0,0
188,-16,61,0,0,0,0
189,-16,61,0,0,0,0
190,-16,61,0,0,0,0
191,-15,61,0,0,0,0
192,-16,61,0,0,0,0
193,-16,61,0,0,0,0
194,-16,60,0,0,0,0
195,-16,60,0,0,0,0
196,-17,60,0,0,0,0
197,-16,60,0,0,0,0
198,-17,60,0,0,0,0
199,-17,60,0,0,0,0
200,-17,60,0,0,0,0
201,-17,60,0,0,0,0
202,-17,60,0,0,0,0
203,-17,59,0,0,0,0
204,-17,60,0,0,0,0
205,-17,59,0,0,0,0
206,-17,60,0,0,0,0
207,-17,59,0,0,0,0
208,-18,60,0,0,0,0
209,-17,60,0,0,0,0
210,-18,59,0,0,0,0
211,-18,59,0,0,0,0
212,-18,60,0,0,0,0
213,-17,59,0,0,0,0
214,-18,59,0,0,0,0
215,-18,59,0,0,0,0
216,-18,59,0,0,0,0
217,-18,59,0,0,0,0
218,-18,59,0,0,0,0
219,-17,59,0,0,0,0
220,-18,59,0,0,0,0
221,-18,58,0,0,0,0
222,-19,59,0,0,0,0
223,-18,58,0,0,0,0
224,-19,58,0,0,0,0
225,-18,59,0,0,0,0
226,-18,58,0,0,0,0
227,-18,58,0,0,0,0
228,-18,58,0,0,0,0
229,-18,58,0,0,0,0
230,-19,58,0,0,0,0
231,-19,58,0,0,0,0
232,-18,58,0,0,0,0
233,-18,58,0,0,0,0
234,-19,58,0,0,0,0
235,-19,58,0,0,0,0
236,-19,58,0,0,0,0
237,-19,58,0,0,0,0
238,-19,58,0,0,0,0
239,-19,57,0,0,0,0
240,-19,58,0,0,0,0
241,-18,58,0,0,0,0
242,-19,57,0,0,0,0
243,-19,58,0,0,0,0
244,-19,57,0,0,0,0
245,-19,57,0,0,0,0
246,-19,57,0,0,0,0
247,-19,57,0,0,0,0
248,-19,57,0,0,0,0
249,-19,57,0,0,0,0
250,-19,57,0,0,0,0
251,-19,57,0,0,0,0
252,-19,57,0,0,0,0
253,-19,57,0,0,0,0
254,-19,57,0,0,0,0
255,-19,57,0,0,0,0
256,-19,57,0,0,0,0
257,-19,57,0,0,0,0
258,-19,57,0,0,0,0
259,-18,57,0,0,0,0
260,-19,57,0,0,0,0
261,-19,58,0,0,0,0
262,-20,57,0,0,0,0
263,-19,57,0,0,0,0
264,-19,57,0,0,0,0
265,-19,58,0,0,0,0
266,-19,58,0,0,0,0
267,-18,58,0,0,0,0
268,-19,58,0,0,0,0
269,-18,58,0,0,0,0
270,-19,58,0,0,0,0
271,-18,58,0,0,0,0
272,-19,58,0,0,0,0
273,-18,58,0,0,0,0
274,-19,58,0,0,0,0
275,-19,58,0,0,0,0
276,-19,59,0,0,0,0
277,-19,58,0,0,0,0
278,-19,58,0,0,0,0
279,-18,58,0,0,0,0
280,-19,58,0,0,0,0
281,-18,59,0,0,0,0
282,-19,59,0,0,0,0
283,-19,58,0,0,0,0
284,-19,59,0,0,0,0
285,-19,58,0,0,0,0
286,-20,58,0,0,0,0
287,-19,58,0,0,0,0
288,-19,58,0,0,0,0
289,-19,58,0,0,0,0
290,-19,59,0,0,0,0
291,-19,59,0,0,0,0
292,-19,58,0,0,0,0
293,-18,58,0,0,0,0
294,-19,59,0,0,0,0
295,-18,58,0,0,0,0
296,-18,59,0,0,0,0
297,-18,59,0,0,0,0
298,-19,59,0,0,0,0
299,-19,58,0,0,0,0
300,-19,59,0,0,0,0
301,-19,58,0,0,0,0
302,-19,58,0,0,0,0
303,-19,58,0,0,0,0
304,-19,58,0,0,0,0
305,-19,58,0,0,0,0
306,-19,59,0,0,0,0
307,-18,58,0,0,0,0
308,-19,59,0,0,0,0
309,-18,58,0,0,0,0
310,-19,59,0,0,0,0
311,-19,58,0,0,0,0
312,-19,58,0,0,0,0
313,-19,59,0,0,0,0
314,-19,59,0,0,0,0
315,-19,59,0,0,0,0
316,-18,59,0,0,0,0
317,-18,59,0,0,0,0
318,-18,59,0,0,0,0
319,-18,59,0,0,0,0
320,-19,59,0,0,0,0
321,-18,59,0,0,0,0
322,-19,59,0,0,0,0
323,-18,59,0,0,0,0
324,-18,59,0,0,0,0
